ship_type,ship_id,ship_name
Tanker,181746,VINGA SAFIR
Tanker,182321,NORTHERN OCEAN
Tanker,182351,FURE NORD
Tanker,188790,GIJON KNUTSEN
Tanker,191974,HELENA KOSAN
Tanker,192887,CPO GERMANY
Tanker,197150,MARIE KIRK
Tanker,200327,BIRGIT KNUTSEN
Tanker,204253,KEY BREEZE
Tanker,204358,BOTHNIA
Tanker,204384,ORAMALIA
Tanker,205790,KEY BORA
Tanker,205932,KEY FJORD
Tanker,205940,KEY BAY
Tanker,206618,ORAKAI
Tanker,206630,KATELINA
Tanker,212572,EURONIKE
Tanker,213558,MINERVA GEORGIA
Tanker,214595,MINERVA ALICE
Tanker,223660,THUN GALAXY
Tanker,251928,CORAL STICHO
Tanker,257926,AIGRAN D
Tanker,259111,WISBY VERITY
Tanker,260019,STAR CURACAO
Tanker,263501,THUN GLORY
Tanker,263683,CORAL MEANDRA
Tanker,272139,PRINS MAURITS
Tanker,279287,INDIAN POINT
Tanker,279934,PROCIDA
Tanker,283840,AMUR STAR
Tanker,285899,UMAR1
Tanker,286668,TRANS FJELL
Tanker,288123,PATRICIA
Tanker,288159,PATANI
Tanker,288246,BESIKTAS HALLAND
Tanker,290098,VENERE
Tanker,299816,LUKE
Tanker,301374,MARY A
Tanker,301875,BALTIC FROST
Tanker,302841,B GAS CHAMPION
Tanker,304547,SOLSTRAUM
Tanker,305383,NORTHERN KATTEGAT
Tanker,306293,CLIPPER HARALD
Tanker,306746,EK-STAR
Tanker,309724,XANTHIA
Tanker,312941,EKEN
Tanker,314533,EKFORS
Tanker,315687,HALICZ
Tanker,315728,PORONIEC
Tanker,316923,ROMANKA
Tanker,321687,TANKSKAR
Tanker,322235,FRAM
Tanker,322954,FOX LUNA
Tanker,326111,OLJAREN
Tanker,326491,PROSPERO
Tanker,326598,ANGON
Tanker,327030,RAMONA
Tanker,327147,FOX SUNRISE
Tanker,327175,NORDEN
Tanker,327198,DANA
Tanker,327475,WISBY WAVE
Tanker,345788,TAYMEN
Tanker,346002,KOLA
Tanker,346022,AURA
Tanker,346191,ABIGAIL
Tanker,346219,ANGARA
Tanker,347062,SULA
Tanker,347165,VALERIY ZELENKO
Tanker,347195,GAZPROMNEFT WEST
Tanker,347280,GAZPROMNEFT EAST
Tanker,347417,FREYA
Tanker,347421,BALTIC EAGLE
Tanker,347645,DEYMA
Tanker,347661,SCF PECHORA
Tanker,347703,NEMAN
Tanker,347754,RAMAVA
Tanker,348075,LOYA
Tanker,348134,NIMBUS SPB
Tanker,348139,FLANDRIYA
Tanker,348222,ALEKSANDR GLUKHOV
Tanker,348379,BERGEN T
Tanker,348465,ALANA
Tanker,348540,GAZPROMNEFT NORDWEST
Tanker,348798,GAZPROMNEFT NORD
Tanker,348898,SALTSTRAUM
Tanker,348904,PEGAS
Tanker,349836,SESKAR
Tanker,349912,DMITRIY RULEVSKIY
Tanker,349961,NEVA LUX
Tanker,350015,VELTA
